,2020 Q3,2020 YE,2021 Q1,2021 Q2,2021 Q3,2021 YE,2022 Q1,2022 Q2,2022 Q3,2022 YE,2023 Q1,2023 Q2,2023 Q3,2023 YE,2024 Q1,2024 Q2,2024 Q3,2024 YE,2025 Q1,2025 Q2,FHR Delta Qtr,FHR Delta An,Period End*,Period End Date,Current FHR,Simulated FHR,PD (%),Data Source,Group,Group Classification,Parent ID,Supplier Number,Key
282,,18,,,,19,,,,38,,,46,74,,,,,,,28,36,"2023, YE",12/31/2023 0:00,74,74,0.0177,FHRx,A2,Auto,P764247,520426,299
286,,28,,,,28,,,,31,,,,34,,33,,,,,,,"2024, Q2",6/30/2024 0:00,33,42,2.0101,Public,"PU, HDM A1",Auto,P328174,70940,322
290,,28,,,,28,,,,31,,,,34,,33,,,,,,,"2024, Q2",6/30/2024 0:00,33,42,2.0101,Public,A1,Auto,P328174,230120,
292,,,,,,78,,,,73,,,,78,,,,,,,,5,"2023, YE",9/30/2023 0:00,78,78,0.0097,FHRx,A2,Auto,P0,514985,329
296,,56,,,,55,,,,40,,,,39,,,,,,,,-1,"2023, YE",5/31/2023 0:00,39,39,1.0013,FHRx,F0,Auto,P0,510995,
297,,60,,,,70,,,,68,,,,79,,,,,,,,11,"2023, YE",12/31/2023 0:00,79,79,0.0083,FHRx,A2,Auto,P641478,60968,
316,,60,,,,70,,,,68,,,,79,,,,,,,,11,"2023, YE",12/31/2023 0:00,79,79,0.0083,FHRx,A2,Auto,P641478,60968,
317,,60,,,,70,,,,68,,,,79,,,,,,,,11,"2023, YE",12/31/2023 0:00,79,79,0.0083,FHRx,A2,Auto,P641478,60968,
318,,60,,,,70,,,,68,,,,79,,,,,,,,11,"2023, YE",12/31/2023 0:00,79,79,0.0083,FHRx,"A2, A3",Auto,P641478,588833,
315,,53,,,,34,,,,40,,,,34,,,,,,,,-6,"2023, YE",12/31/2023 0:00,34,34,1.784,FHRx,"A2, F3",Auto,P890147,50810,281
319,76,76,78,79,81,80,75,70,58,52,53,50,53,59,59,62,64,,,,2,11,"2024, Q3",6/30/2024 0:00,64,64,0.0632,Public,"A2, A3, HDM A3",Auto,P265454,163030,110
323,,20,,,,19,,,,16,17,,,20,,18,,17,,,,-3,"2024, YE",3/30/2024 0:00,17,17,18.111,FHRx,"F3, HDM A2",Auto,P806649,61043,289
327,,32,,,,33,23,,,23,,,,23,,16,,15,,,,-8,"2024, YE",3/31/2024 0:00,15,15,24.8648,FHRx,F3,Auto,P806649,504855,306
328,,,,,,35,,,,26,,27,27,33,,45,,49,,,,16,"2024, YE",3/31/2024 0:00,49,49,0.3343,FHRx,F3,Auto,P806649,60570,206
330,89,85,79,69,75,82,87,87,87,86,83,83,85,86,87,88,90,88,88,,0,1,"2025, Q1",6/30/2024 0:00,88,88,0.0014,Public,"PU, HDM A1",Auto,P714640,100520P,61
336,89,85,79,69,75,82,87,87,87,86,83,83,85,86,87,88,90,88,88,,0,1,"2025, Q1",6/30/2024 0:00,88,88,0.0014,Public,HDM A1,Auto,P714640,521767P,
338,89,85,79,69,75,82,87,87,87,86,83,83,85,86,87,88,90,88,88,,0,1,"2025, Q1",6/30/2024 0:00,88,88,0.0014,Public,PU,Auto,P714640,504761P,
335,,64,,69,,52,,,,32,,38,,46,,,,,,,,14,"2023, YE",12/31/2023 0:00,46,46,0.4626,FHRx,F3,Auto,P891811,589304,164
339,,68,,,,70,,,,49,,,,69,,,,76,,,,7,"2024, YE",3/31/2024 0:00,76,76,0.0132,FHRx,"PU, HDM A1",Auto,P714640,100520,
344,,,,,,,,,,,,,,42,,,,52,,,,10,"2024, YE",3/31/2024 0:00,52,52,0.2416,FHRx,PU,Auto,P714640,504761,
