,Vlookup Supplier #,accountsPayable,accountsReceivable,bankCashBalances,bankOverdraft,debitOwnedWithinOneYear,financialAssets,fixedAssets,intangibleAssets,otherCurrentAssets,otherCurrentLiabilities,otherEquity,otherTermAssets,otherTermLiabilities,prepayments,retainedEarnings,subscribedCapital,termLoans,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalInventories,totalLiabilities,totalShareholderEquity,totalTermAssets,totalTermLiabilities,accountPayableAccrualFromCashFlow,capitalExpenditure,changeInInventoriesFromCashFlow,netChangeInCashAndCashEquivalents,netFundingCashFlow,netInvestingCashFlow,unbilledAccountsReceivableRevenueFromCashFlow,currency,financialDate,period,abnormalItems,amortization,companyTaxExpense,costOfGoodsSold,depreciation,earningsBeforeInterestAndTax,grossProfit,interestExpense,interestReceived,investmentIncome,netInvestmentIncome,netProfitAfterTax,netProfitAfterTaxAndMinorityInterests,netProfitBeforeTax,netSurplus,otherIncome,otherInvestmentExpense,otherOperatingExpense,totalOperatingExpense,totalOperatingRevenue,totalStaffCosts,salesRevenue,RRID,id,eqyYear,CHS,FHR
59,584281,,,327.3,,301.3,,959.4,,,,,,,,,,1803.1,5341.8,2138.0,1351.2,,3670.4,1671.4,,,,,,,-139.0,-192.6,,USD,2022-03-31,Q1,10.2,,125.4,,,605.9,,77.9,2.9,,,405.5,,,,,,,,,,5244.0,XALle1A,2022Q1,2022,67,64
60,510176,,,260.24195,,0.0,308.05178,679.48696,,,,,,,,,,0.0,2738.28506,1083.88385,304.7285,,337.98554,2400.29953,,,,,,,-256.9346,-275.09994,,USD,2024-06-30,Q2,,,73.42043,,,499.42134,,,,,,415.94077,,,,,,,,,,2328.13188,dJO0ZRa,2024Q2,2024,66,87
61,510176,,,249.00453,,0.0,311.02841,664.78893,,,,,,,,,,0.0,2713.21457,1072.5947,304.41122,,336.85078,2376.36379,,,,,,,-234.49807,-282.16216,,USD,2024-03-31,Q1,,,77.57827,,,511.8267,,,,,,439.05573,,,,,,,,,,2338.67895,dJO0ZRa,2024Q1,2024,66,88
62,510176,,,226.43502,,0.0,299.08088,652.87767,,,,,,,,,,0.0,2611.43755,997.73815,271.60898,,298.92048,2312.51707,,,,,,,-230.15289,-299.41632,,USD,2023-12-31,YE,,,76.5779,,,495.73104,,,,,,428.40327,,,,,,,,,,2299.21504,dJO0ZRa,2023YE,2023,66,88
63,510176,,,260.63363,,0.0,272.61554,606.18074,,,,,,,,,,0.0,2558.31884,1055.45183,274.4055,,289.86503,2268.45381,,,,,,,-189.31627,-242.49509,,USD,2023-09-30,Q3,,,66.90897,,,457.07426,,,,,,397.6274,,,,,,,,,,2203.73022,dJO0ZRa,2023Q3,2023,65,87
64,510176,,,237.6656,,0.0,239.62147,596.69434,,,,,,,,,,0.0,2487.10709,1025.30643,276.06202,,291.15777,2195.94933,,,,,,,-186.49611,-235.91638,,USD,2023-06-30,Q2,,,60.66058,,,421.44929,,,,,,365.55798,,,,,,,,,,2121.51843,dJO0ZRa,2023Q2,2023,64,86
65,510176,,,215.45216,,0.0,229.39882,575.27602,,,,,,,,,,0.0,2433.34784,1005.04119,297.03073,,310.09219,2123.25565,,,,,,,-160.32149,-243.09086,,USD,2023-03-31,Q1,,,53.61578,,,379.95086,,,,,,328.80698,,,,,,,,,,2001.46858,dJO0ZRa,2023Q1,2023,63,85
66,510176,,,214.75464,,0.0,202.33198,550.03304,,,,,,,,,,0.0,2327.22992,948.65238,250.55275,,261.4371,2065.79282,,,,,,,-209.01905,-172.73851,,USD,2022-12-31,YE,,,50.96572,,,370.00612,,,,,,318.75736,,,,,,,,,,1918.95804,dJO0ZRa,2022YE,2022,63,85
67,510176,,,222.93372,,0.0,194.10998,526.68079,,,,,,,,,,0.0,2311.32306,989.32328,265.16464,,277.2774,2034.04566,,,,,,,-196.2122,-149.96333,,USD,2022-09-30,Q3,,,46.87238,,,363.84713,,,,,,316.76841,,,,,,,,,,1845.1518,dJO0ZRa,2022Q3,2022,63,85
68,510176,,,269.37247,,0.0,197.64431,488.91396,,,,,,,,,,0.0,2284.45423,991.88673,286.17189,,297.87975,1986.57448,,,,,,,-270.91808,-111.92869,,USD,2022-06-30,Q2,,,46.59971,,,365.22052,,,,,,320.77296,,,,,,,,,,1751.11384,dJO0ZRa,2022Q2,2022,63,85
